,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,
Cycles,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,10000,0,0,0,0,0,9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998,0,0,0,0,0,9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
